FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
VGIA11,INDEFINIDO,"8,99","4.067.390,38","0,93","0,10","1,15 %","3,48 %","7,55 %","16,25 %","1,16 %","1,26 %","1,35 %","14,76 %","-6,85 %","-5,78 %","0,24 %","832.690.508,92","9,63","0,93","1,04 %","1,06 %","2,11 %","10,43 %",0,"14,17",161.613,N/A,N/A,N/A
VGIP11,PAPÉIS,"89,50","1.725.625,95","0,96","0,70","0,82 %","2,62 %","5,31 %","12,31 %","0,87 %","0,89 %","1,03 %","11,35 %","-2,33 %","-1,53 %","12,21 %","1.098.211.712,82","93,17","0,96","0,75 %","3,02 %","3,79 %","12,82 %",0,"13,83",88.746,N/A,N/A,N/A
VGIR11,PAPÉIS,"9,85","4.061.826,05","1,01","0,11","1,12 %","3,54 %","7,44 %","14,96 %","1,18 %","1,24 %","1,25 %","13,84 %","-0,20 %","0,91 %","14,63 %","1.007.494.696,52","9,76","1,01","1,13 %","1,24 %","2,39 %","-88,73 %",0,"10,84",230.050,N/A,N/A,N/A
VIDS11,FUNDO DE DESENVOLVIMENTO,N/A,N/A,N/A,"30,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"80.548.577,32",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,199,N/A,N/A,N/A
VIFI11,FUNDO DE FUNDOS,"8,15","306.679,76","0,89","0,07","0,84 %","2,58 %","5,08 %","10,63 %","0,86 %","0,85 %","0,89 %","10,63 %","2,72 %","3,59 %","32,00 %","73.953.665,27","9,14","0,89","0,77 %","3,28 %","4,07 %","-68,17 %",0,"15,73",6.416,N/A,N/A,N/A
VIGT11,N/A,"78,16","865.687,95",N/A,"2,40","3,13 %","9,18 %","18,81 %","30,13 %","3,06 %","3,14 %","3,35 %","12,70 %","-3,04 %","-0,00 %","20,64 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,22",0,N/A,N/A,N/A
VILG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"97,27","3.181.106,52","0,87","0,64","0,64 %","1,98 %","3,94 %","8,06 %","0,66 %","0,66 %","0,67 %","8,06 %","2,13 %","2,78 %","7,65 %","1.668.484.202,43","111,25","0,87","0,58 %","-0,91 %","-0,33 %","5,83 %",14,"19,46",162.935,N/A,N/A,N/A
VINO11,LAJES CORPORATIVAS,"7,50","1.051.694,43","0,70","0,06","0,76 %","2,30 %","4,32 %","8,64 %","0,77 %","0,72 %","0,72 %","8,64 %","-0,39 %","0,37 %","-12,53 %","898.275.735,76","10,85","0,69","0,53 %","-80,18 %","-80,08 %","-78,89 %",10,"23,13",144.500,N/A,N/A,N/A
VISC11,SHOPPINGS,"122,78","5.926.664,81","1,07","1,00","0,81 %","2,50 %","4,74 %","9,25 %","0,83 %","0,79 %","0,77 %","9,25 %","4,10 %","4,95 %","27,83 %","2.444.559.544,17","115,07","1,07","0,87 %","-7,07 %","-6,27 %","7,70 %",20,"12,98",271.018,N/A,N/A,N/A
VIUR11,MISTO,"7,92","338.801,19","0,88","0,07","0,90 %","2,70 %","5,30 %","11,35 %","0,90 %","0,88 %","0,95 %","11,35 %","0,00 %","0,90 %","13,09 %","243.541.710,53","9,04","0,88","0,80 %","-1,74 %","-0,96 %","-89,68 %",8,"15,10",46.845,N/A,N/A,N/A
